host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,f,t,Private room in rental unit,Private room,f,1,1,2,400,5,5,5,4.88,5,5,5,1,1125,0.4
within an hour,f,t,Entire condo,Entire home/apt,t,0.93,1,5,799,4.48,4.58,4.54,4.58,4.42,4.44,4.42,1,1125,1.12
within an hour,f,t,Private room in rental unit,Private room,t,1,0.99,1,359,4.82,4.86,4.82,4.93,4.93,4.86,4.75,3,28,0.66
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.97,6,2636,4,4.14,4.43,4.29,4.43,5,4.29,1,7,0.17
within an hour,f,f,Entire rental unit,Entire home/apt,f,0.9,0.97,4,1500,4.55,4.7,4.46,4.77,4.89,4.98,4.55,1,1125,3.42
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.97,6,2879,4.78,4.89,4.89,5,5,5,5,1,7,0.22
within an hour,f,t,Private room in rental unit,Private room,t,1,0.99,2,389,4.81,4.92,4.81,4.92,5,4.81,4.88,3,20,0.62
within an hour,f,t,Entire home,Entire home/apt,t,1,1,13,8424,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.1
within an hour,t,t,Private room in guesthouse,Private room,f,1,0.93,2,389,4.94,4.97,4.88,4.94,5,4.97,4.94,2,30,0.8
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,1600,4.88,4.97,4.9,4.92,4.92,4.97,4.91,2,365,2.03
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,4,784,4.67,4.74,4.53,4.73,4.76,4.71,4.62,2,1125,3.32
Desconocido,f,f,Private room in casa particular,Private room,t,0.9,1,2,650,5,5,5,5,4,5,4,3,365,0.23
Desconocido,f,f,Private room in rental unit,Private room,f,0.9,0.9,2,315,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,120,1.1
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.9,2,1700,5,5,5,5,5,5,5,1,1125,0.05
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.9,3,1857,4.84,4.89,4.84,5,4.95,5,4.74,2,1125,0.45
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,4,926,4.8,4.93,4.96,4.98,4.93,4.89,4.8,2,1125,1.07
within an hour,t,t,Private room in condo,Private room,f,1,1,2,429,5,5,5,5,5,4.95,5,2,1125,1.09
