host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,4,3993.99,4.86,4.88,4.9,4.91,4.91,4.95,4.81,2,365,1.2
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,969.43,4.58,4.81,4.82,4.86,4.82,4.87,4.64,3,999,1.59
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1002.54,4.77,4.88,4.94,4.86,4.91,4.82,4.75,3,999,1.6
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1002.54,4.75,4.87,4.85,4.81,4.79,4.78,4.78,3,999,1.84
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1044.89,4.79,4.8,4.78,4.81,4.88,4.81,4.66,3,999,1.85
within an hour,t,t,Entire serviced apartment,Entire home/apt,t,1,1,5,2106.72,4.67,4.9,4.76,4.71,4.81,4.86,4.67,2,90,0.43
within a day,Desconocido,t,Private room in rental unit,Private room,f,1,0.5,4,710.71,4.33,4.67,3.78,4.89,4.89,4.22,4.56,1,31,0.21
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,2531.76,4.93,5,4.71,4.93,5,4.86,4.71,1,99,0.29
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.98,2,747.67,4.66,4.82,4.58,4.86,4.7,4.62,4.78,2,28,4.45
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1065.68,4.66,4.79,4.77,4.81,4.86,4.84,4.6,3,999,1.44
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,10,2548.7,4.82,4.82,4.88,4.84,4.9,4.75,4.67,1,1125,1.06
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.95,4,2003.54,4.86,4.95,4.86,4.82,4.91,4.77,4.9,2,1125,0.46
Desconocido,f,f,Entire rental unit,Entire home/apt,f,1,0.9,5,4189.57,4.7,4.8,4.7,4.8,4.8,4.8,4.7,2,1096,1.3
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1196.58,4.86,4.9,4.88,4.96,4.95,4.85,4.81,1,18,1.3
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,11,4719.33,4.65,4.69,4.8,4.94,4.92,4.95,4.64,2,30,1.73
within a few hours,f,t,Entire rental unit,Entire home/apt,t,1,1,4,2932.16,5,5,5,5,5,5,5,2,90,0.02
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,1,2,4504.5,4.75,5,4.75,5,4.88,4.63,4.75,2,1125,0.18
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0.64,4,1912.68,4.25,4.5,4.5,5,5,5,4,3,1125,0.09
within an hour,f,t,Entire rental unit,Entire home/apt,t,0.99,1,4,1335.18,4.67,4.82,4.39,4.82,4.88,4.91,4.68,2,31,3.64
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,4,1311.31,4.93,4.93,4.91,4.86,4.93,4.73,4.86,2,1125,0.96
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1209.67,4.89,4.94,4.9,4.97,4.96,4.89,4.88,1,17,5.09
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,1699.39,4.91,4.96,4.95,4.91,4.89,4.9,4.84,2,30,3.11
within an hour,t,t,Entire bungalow,Entire home/apt,t,1,1,3,1961.19,4.99,4.94,4.95,4.99,4.95,4.77,4.9,2,1125,1.65
within an hour,t,t,Entire loft,Entire home/apt,t,1,0.99,2,2586.43,5,5,5,5,5,5,5,1,1125,0.02
within an hour,Desconocido,t,Private room in condo,Private room,f,1,0.94,2,770,5,5,5,4.96,4.96,4.91,4.96,1,1125,0.52
a few days or more,f,t,Entire serviced apartment,Entire home/apt,f,0.48,0.35,6,2166.78,4.71,4.86,4.71,4.71,4.71,4.71,4.43,1,300,0.29
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,3,2576.42,5,5,5,5,5,5,5,1,360,0.17
Desconocido,f,t,Room in boutique hotel,Hotel room,t,1,0.9,6,36428.7,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.3
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,6,1064.14,4.64,4.83,4.8,4.47,4.76,4.83,4.76,2,365,1.23
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,6,2811.27,4.6,4.63,4.6,4.61,4.72,4.95,4.63,1,1125,4.33
a few days or more,f,t,Entire serviced apartment,Entire home/apt,f,0.48,0.35,8,4207.28,4.75,4.13,4.38,4.88,5,4.88,4.75,1,300,0.28
within an hour,f,t,Entire serviced apartment,Entire home/apt,f,1,1,2,608.3,4.64,4.64,4.64,4.55,4.82,4.91,4.82,2,1125,0.23
within a few hours,f,t,Entire rental unit,Entire home/apt,f,0.86,0.69,2,1262.03,4.72,4.84,4.61,4.88,4.94,4.75,4.67,2,28,1.38
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,4,1456.07,4.84,4.82,4.68,4.78,4.83,4.97,4.81,3,1125,2.36
within an hour,Desconocido,t,Private room in rental unit,Private room,t,1,1,2,988.68,5,5,5,5,5,5,5,2,28,0.02
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1405.25,4.33,4.49,4.53,4.51,4.66,4.84,4.44,2,1125,2.94
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,3,1301.3,4.34,4.55,4.47,4.48,4.64,4.85,4.54,2,1125,3.29
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,3,2301.53,4.94,4.98,4.95,4.98,4.98,4.95,4.88,2,90,4.96
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.97,6,1449.91,4.84,4.89,4.79,4.95,4.98,4.94,4.87,2,1125,2.72
within an hour,Desconocido,t,Private room in condo,Private room,f,1,0.94,2,1639.33,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,30,1.3
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,2,1456.84,4.7,4.8,4.7,4.8,4.8,4.8,4.7,3,1125,1.3
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,4,2003.54,4.7,4.8,4.7,4.8,4.8,4.8,4.7,3,1125,1.3
within an hour,f,t,Room in hotel,Hotel room,t,1,0.86,2,549.01,5,5,4,5,5,5,5,2,999,0.11
within an hour,f,t,Room in hotel,Hotel room,t,1,0.86,1,321.09,4.4,4.35,4.3,4.7,4.7,4.55,4.3,2,999,0.45
Desconocido,f,t,Entire rental unit,Entire home/apt,f,1,0.9,3,5463.92,4.7,4.8,4.7,4.8,4.8,4.8,4.7,2,29,1.3
within a few hours,f,t,Entire rental unit,Entire home/apt,t,0.96,0.9,3,2367.75,5,4.73,4.91,5,4.91,4.91,4.82,2,180,0.23
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1503.04,4.91,4.92,4.95,4.91,4.98,4.92,4.92,2,365,4.33
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,1825.67,4.97,4.97,4.92,4.97,4.93,4.9,4.91,1,1125,3.8
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,0.75,5,2186.03,4.88,5,4.75,5,5,5,5,3,1125,0.17
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,1,5,19250,3,3,3,3,3,5,4,2,30,0.04
within an hour,Desconocido,t,Private room in rental unit,Private room,t,1,1,2,268.73,4.74,4.84,4.78,4.94,4.75,4.78,4.75,1,30,1.67
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,1871.1,4.93,4.94,4.97,4.95,4.97,4.97,4.85,2,1125,3.24
Desconocido,f,f,Entire rental unit,Entire home/apt,f,1,0,11,4995.76,4.47,4.71,4.76,4.59,4.82,5,4.53,3,1125,0.36
Desconocido,f,t,Entire rental unit,Entire home/apt,f,1,0.9,2,8470,5,4.93,4.87,4.93,5,4.87,4.87,2,21,0.32
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1848,4.94,4.98,4.94,4.98,4.98,4.93,4.87,2,120,4.54
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.99,3,1553.09,4.75,4.78,4.65,4.88,4.78,4.94,4.81,2,1125,2.84
