host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,1,2,1264.23,4.86,4.86,4.71,5,5,4.57,4.57,28,1125,0.45
Desconocido,t,t,Entire condo,Entire home/apt,f,0.9,0.95,2,1915.5,5,5,4.94,5,5,5,5,28,1125,1.07
within an hour,f,t,Private room in townhouse,Private room,f,1,0.91,2,1047.14,4.93,4.93,4.96,4.93,4.91,4.7,4.87,28,365,0.7
within a day,f,t,Entire condo,Entire home/apt,f,0.89,0.64,4,3064.8,4,4.25,3.5,3.75,4,5,4.25,28,365,0.28
within an hour,t,t,Private room in home,Private room,f,1,1,2,1353.62,4.94,4.97,4.97,5,5,4.85,4.83,28,40,0.7
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.9,4,1379.16,4.93,4.95,4.76,4.95,4.9,4.83,4.9,28,365,0.7
Desconocido,f,f,Entire guest suite,Entire home/apt,f,0.9,0.9,1,893.9,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,30,0.7
within a day,f,t,Entire rental unit,Entire home/apt,f,1,0.38,4,1532.4,5,4.67,4.33,5,5,5,5,28,365,0.34
within a few hours,t,t,Entire guest suite,Entire home/apt,f,1,0.94,8,2515.69,4.88,4.88,4.74,4.85,4.82,4.76,4.76,28,1125,0.7
within an hour,Desconocido,t,Private room in home,Private room,f,1,0.9,3,1200.38,4.84,4.84,4.74,4.91,4.77,4.67,4.74,28,365,0.7
within a few hours,t,t,Entire condo,Entire home/apt,f,1,0.86,5,6014.67,4.88,4.94,4.74,4.88,4.92,4.96,4.72,30,365,0.7
within a few hours,f,t,Entire condo,Entire home/apt,f,0.9,0.3,2,2298.6,4.75,4.75,5,4.75,4.5,5,4.25,30,1125,0.24
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.84,4,1992.12,4.7,4.8,4.7,4.8,4.9,4.8,4.7,28,365,0.7
within a few hours,t,t,Entire guest suite,Entire home/apt,f,1,1,2,1085.45,4.83,5,5,5,5,4.83,4.83,28,275,0.41
within a few hours,t,t,Entire condo,Entire home/apt,f,1,1,2,1277,5,5,5,5,5,5,5,28,365,0.7
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.84,2,1660.1,5,5,5,5,5,4.71,5,30,365,0.63
within an hour,t,t,Private room in home,Private room,f,1,0.99,3,1034.37,4.89,4.92,4.84,4.94,4.87,4.75,4.84,28,365,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,1,4,2771.09,5,5,4.33,4.33,5,5,5,30,365,0.21
